,precision,recall,f1-score,support
ACCOUNT_LOGIN,0.0,0.0,0.0,15.0
CUSTOMER_SERVICE_COMPLAINT,0.0,0.0,0.0,25.0
DAMAGED_MISSING_ITEM,0.0,0.0,0.0,20.0
DELIVERY_SHIPPING,0.125,1.0,0.2222222222222222,25.0
ORDER_MODIFICATION,0.0,0.0,0.0,15.0
OTHER,0.0,0.0,0.0,40.0
PAYMENT_BILLING,0.0,0.0,0.0,15.0
PRIME_SUBSCRIPTION,0.0,0.0,0.0,20.0
REFUND_RETURN,0.0,0.0,0.0,25.0
accuracy,0.125,0.125,0.125,0.125
macro avg,0.013888888888888888,0.1111111111111111,0.024691358024691357,200.0
weighted avg,0.015625,0.125,0.027777777777777776,200.0
