,precision,recall,f1-score,support
ACCOUNT_LOGIN,0.8571428571428571,0.8,0.8275862068965517,15.0
CUSTOMER_SERVICE_COMPLAINT,0.8333333333333334,0.8,0.8163265306122449,25.0
DAMAGED_MISSING_ITEM,0.8888888888888888,0.8,0.8421052631578947,20.0
DELIVERY_SHIPPING,0.7419354838709677,0.92,0.8214285714285714,25.0
ORDER_MODIFICATION,1.0,0.8666666666666667,0.9285714285714286,15.0
OTHER,0.8292682926829268,0.85,0.8395061728395061,40.0
PAYMENT_BILLING,0.9166666666666666,0.7333333333333333,0.8148148148148148,15.0
PRIME_SUBSCRIPTION,1.0,0.95,0.9743589743589743,20.0
REFUND_RETURN,0.8571428571428571,0.96,0.9056603773584906,25.0
accuracy,0.86,0.86,0.86,0.86
macro avg,0.8804864866364998,0.8533333333333334,0.8633731488931641,200.0
weighted avg,0.8668297210045831,0.86,0.8602975270157112,200.0
